video_id,title,duration_sec,hashtags_count,views,likes,comments,shares,upload_hour,category
vid_1140,Short Video #140,39,9,203888,29205,2502,456,7,Education
vid_1141,Short Video #141,48,6,182157,21988,2192,1640,19,Lifestyle
vid_1142,Short Video #142,44,1,168716,23545,1505,1555,21,Education
vid_1143,Short Video #143,26,9,106707,7858,2008,549,14,Travel
vid_1144,Short Video #144,31,4,53244,4501,599,439,23,Comedy
vid_1145,Short Video #145,39,3,87730,10991,1575,374,6,Education
vid_1146,Short Video #146,5,7,29852,2760,198,260,10,Lifestyle
vid_1147,Short Video #147,39,1,215430,28810,2107,1814,6,Comedy
vid_1148,Short Video #148,41,5,60459,8329,462,103,3,Comedy
vid_1149,Short Video #149,51,4,71681,5732,797,447,11,Lifestyle
vid_1150,Short Video #150,18,1,186310,24657,1243,1259,5,Tech
vid_1151,Short Video #151,7,9,37467,2451,435,37,13,Education
vid_1152,Short Video #152,5,0,48356,4033,498,474,11,Lifestyle
vid_1153,Short Video #153,9,7,115934,11801,968,540,10,Travel
vid_1154,Short Video #154,30,1,134891,9799,1973,762,18,Food
vid_1155,Short Video #155,59,6,94559,10205,1821,260,20,Lifestyle
vid_1156,Short Video #156,18,8,96427,10401,781,626,4,Comedy
vid_1157,Short Video #157,43,8,211298,14936,3312,1752,13,Comedy
vid_1158,Short Video #158,31,7,144609,18736,2333,907,20,Lifestyle
vid_1159,Short Video #159,13,9,133345,15089,1663,1079,23,Food
vid_1160,Short Video #160,19,8,157217,12856,2903,1191,15,Lifestyle
vid_1161,Short Video #161,19,1,82425,6035,1606,258,12,Food
vid_1162,Short Video #162,30,5,363632,50135,3794,1789,21,Food
vid_1163,Short Video #163,46,3,24722,3302,365,57,21,Travel
vid_1164,Short Video #164,17,3,236748,17276,3535,326,19,Education
vid_1165,Short Video #165,55,4,169611,9084,1874,265,21,Comedy
vid_1166,Short Video #166,36,2,114573,14946,1117,1086,3,Comedy
vid_1167,Short Video #167,43,0,103571,11553,1968,1021,10,Food
vid_1168,Short Video #168,53,7,89919,5403,1515,166,16,Comedy
vid_1169,Short Video #169,56,4,191389,20810,1285,768,6,Tech
vid_1170,Short Video #170,36,2,96382,9177,655,195,13,Food
vid_1171,Short Video #171,8,9,63784,8129,1201,542,10,Comedy
vid_1172,Short Video #172,34,6,169598,12025,1055,927,21,Tech
vid_1173,Short Video #173,41,6,255469,24350,3915,1683,8,Travel
vid_1174,Short Video #174,27,0,31060,2038,260,181,22,Comedy
vid_1175,Short Video #175,43,8,406059,59184,2244,3001,12,Tech
vid_1176,Short Video #176,49,1,52995,6776,312,205,22,Lifestyle
vid_1177,Short Video #177,19,4,55482,6861,588,124,17,Education
vid_1178,Short Video #178,47,4,46773,5566,288,54,10,Lifestyle
vid_1179,Short Video #179,33,7,98766,9119,1377,494,14,Tech
vid_1180,Short Video #180,40,7,45805,6519,673,420,21,Food
vid_1181,Short Video #181,17,6,49268,2822,522,184,18,Food
vid_1182,Short Video #182,36,6,65308,8511,1054,180,0,Comedy
vid_1183,Short Video #183,11,5,107266,7672,1324,1001,3,Lifestyle
vid_1184,Short Video #184,55,5,113653,9365,1301,221,13,Food
vid_1185,Short Video #185,26,8,207880,21191,2308,304,13,Food
vid_1186,Short Video #186,32,5,205025,26297,2350,1827,2,Lifestyle
vid_1187,Short Video #187,6,1,182547,24434,3563,1334,16,Travel
vid_1188,Short Video #188,46,1,84375,9143,1284,404,2,Food
vid_1189,Short Video #189,49,4,32705,2953,318,254,15,Education
vid_1190,Short Video #190,57,3,32273,4668,516,247,13,Tech
vid_1191,Short Video #191,10,1,181795,13571,1809,247,19,Comedy
vid_1192,Short Video #192,32,2,163775,21341,1127,1160,12,Food
vid_1193,Short Video #193,32,6,68184,7582,827,461,14,Education
vid_1194,Short Video #194,48,7,41587,3646,676,402,13,Education
vid_1195,Short Video #195,48,5,52665,2640,561,510,23,Food
vid_1196,Short Video #196,24,4,109624,10377,1977,482,18,Travel
vid_1197,Short Video #197,34,0,109747,8524,1185,692,5,Tech
vid_1198,Short Video #198,15,7,184521,11151,1890,419,9,Comedy
vid_1199,Short Video #199,59,2,75341,4333,1504,120,14,Food
vid_1200,Short Video #200,32,5,85270,7227,1043,417,20,Comedy
vid_1201,Short Video #201,29,2,193918,21617,3311,1397,21,Lifestyle
vid_1202,Short Video #202,43,6,27582,3689,470,168,19,Education
vid_1203,Short Video #203,37,6,119428,8163,2256,581,5,Education
vid_1204,Short Video #204,5,8,80778,7469,506,675,22,Food
vid_1205,Short Video #205,31,4,151396,13503,1372,1233,9,Food
vid_1206,Short Video #206,56,7,134264,13606,2217,1018,6,Lifestyle
vid_1207,Short Video #207,17,9,65004,8512,873,110,21,Travel
vid_1208,Short Video #208,45,9,72809,7671,975,594,16,Food
vid_1209,Short Video #209,7,7,24805,3340,185,230,17,Education
vid_1210,Short Video #210,43,0,154816,15768,1426,237,16,Comedy
vid_1211,Short Video #211,10,4,113989,12582,1461,526,8,Tech
vid_1212,Short Video #212,12,2,228457,21415,2092,2260,9,Comedy
vid_1213,Short Video #213,31,0,77680,10277,633,496,9,Travel
vid_1214,Short Video #214,13,3,170860,24327,1079,960,6,Tech
vid_1215,Short Video #215,41,7,51950,5917,381,134,15,Comedy
vid_1216,Short Video #216,37,2,19479,2572,322,118,17,Comedy
vid_1217,Short Video #217,55,9,93273,5213,1472,461,5,Lifestyle
vid_1218,Short Video #218,46,1,70262,9879,399,150,19,Travel
vid_1219,Short Video #219,48,8,52549,3620,422,272,0,Education
vid_1220,Short Video #220,28,9,169204,12800,2268,419,0,Lifestyle
vid_1221,Short Video #221,19,4,203810,11277,2005,1544,11,Tech
vid_1222,Short Video #222,58,6,105161,15410,1824,1026,20,Education
vid_1223,Short Video #223,36,1,88476,11962,1484,462,1,Lifestyle
vid_1224,Short Video #224,36,8,102500,14485,1883,685,3,Travel
vid_1225,Short Video #225,28,8,66718,8988,896,325,16,Food
vid_1226,Short Video #226,45,3,138352,13552,1422,310,3,Food
vid_1227,Short Video #227,56,3,39197,5581,552,381,10,Tech
vid_1228,Short Video #228,53,5,51852,7619,328,112,21,Food
vid_1229,Short Video #229,53,9,61404,6156,315,123,3,Lifestyle
vid_1230,Short Video #230,56,9,136600,9229,718,701,0,Tech
vid_1231,Short Video #231,16,9,82331,9539,914,570,6,Education
vid_1232,Short Video #232,43,5,223291,32945,1880,936,17,Travel
vid_1233,Short Video #233,6,0,159849,21933,1176,436,8,Tech
vid_1234,Short Video #234,7,8,61043,8312,868,510,2,Education
vid_1235,Short Video #235,53,1,144362,20698,2876,616,7,Tech
vid_1236,Short Video #236,41,4,77271,10771,592,212,23,Comedy
vid_1237,Short Video #237,53,8,131125,16735,1730,561,18,Comedy
vid_1238,Short Video #238,60,3,164565,20048,1118,482,3,Tech
vid_1239,Short Video #239,21,2,192688,14736,3663,1093,17,Food
vid_1240,Short Video #240,53,6,111436,12495,1044,781,19,Comedy
vid_1241,Short Video #241,6,5,257834,26337,4686,2113,10,Travel
vid_1242,Short Video #242,6,7,128641,17520,1189,392,13,Education
vid_1243,Short Video #243,32,2,107047,10615,1829,267,17,Lifestyle
vid_1244,Short Video #244,58,4,82330,5168,670,96,15,Comedy
vid_1245,Short Video #245,27,9,67589,3413,634,206,2,Tech
vid_1246,Short Video #246,41,3,126998,14958,1001,154,14,Food
vid_1247,Short Video #247,36,3,104867,11010,940,430,3,Lifestyle
vid_1248,Short Video #248,37,3,115438,9592,2022,266,4,Education
vid_1249,Short Video #249,5,9,131721,8811,1921,819,16,Education
vid_1250,Short Video #250,23,7,115146,11131,1276,512,6,Comedy
vid_1251,Short Video #251,6,5,330372,19831,6466,608,15,Education
vid_1252,Short Video #252,57,2,71913,6012,861,330,13,Education
vid_1253,Short Video #253,48,9,127947,11249,2500,369,15,Food
vid_1254,Short Video #254,30,4,86110,8314,684,613,6,Food
vid_1255,Short Video #255,36,5,22541,2178,418,96,8,Food
vid_1256,Short Video #256,10,4,87896,6653,457,204,3,Tech
vid_1257,Short Video #257,36,5,56280,7598,741,233,21,Education
vid_1258,Short Video #258,59,7,94836,8113,1075,286,10,Education
vid_1259,Short Video #259,8,6,97164,7088,1251,793,1,Education
vid_1260,Short Video #260,59,4,124394,8406,1654,1225,11,Travel
vid_1261,Short Video #261,15,9,71818,5907,778,88,11,Food
vid_1262,Short Video #262,60,5,77415,4393,1546,558,3,Lifestyle
vid_1263,Short Video #263,21,3,150304,8009,2953,507,17,Comedy
vid_1264,Short Video #264,42,8,60752,6713,1180,97,20,Lifestyle
vid_1265,Short Video #265,28,3,32758,3666,644,36,6,Tech
vid_1266,Short Video #266,9,0,108468,11167,1832,968,0,Tech
vid_1267,Short Video #267,56,6,187682,23690,3721,784,22,Education
vid_1268,Short Video #268,38,6,149269,8047,2744,1485,12,Lifestyle
vid_1269,Short Video #269,10,3,109676,15749,1232,546,5,Education
vid_1270,Short Video #270,26,2,209062,12440,3506,562,5,Travel
vid_1271,Short Video #271,15,7,188944,22182,3529,1510,11,Tech
vid_1272,Short Video #272,52,4,80939,5126,1269,755,7,Tech
vid_1273,Short Video #273,20,9,114520,15802,1298,955,23,Lifestyle
vid_1274,Short Video #274,37,6,117509,11876,703,905,21,Tech
vid_1275,Short Video #275,13,3,93709,5456,1606,375,18,Travel
vid_1276,Short Video #276,10,3,194959,21771,3760,308,4,Travel
vid_1277,Short Video #277,20,7,90103,4587,940,253,17,Travel
vid_1278,Short Video #278,33,7,73118,9330,532,367,4,Comedy
vid_1279,Short Video #279,7,1,20849,2398,206,200,9,Travel
vid_1280,Short Video #280,24,1,61145,4357,840,458,0,Travel
vid_1281,Short Video #281,40,2,44835,3921,437,379,9,Comedy
vid_1282,Short Video #282,23,2,96351,4892,1364,336,4,Education
vid_1283,Short Video #283,30,0,46526,5553,907,332,11,Food
vid_1284,Short Video #284,7,2,142231,11700,2142,1246,21,Tech
vid_1285,Short Video #285,23,5,191963,20570,2004,1020,6,Travel
vid_1286,Short Video #286,24,7,96887,14113,1844,471,8,Tech
vid_1287,Short Video #287,36,9,54698,4372,737,408,21,Lifestyle
vid_1288,Short Video #288,11,5,117223,17469,811,707,20,Tech
vid_1289,Short Video #289,56,4,307455,34826,3838,3055,11,Education
vid_1290,Short Video #290,45,3,255119,18932,3776,1231,22,Comedy
vid_1291,Short Video #291,37,2,42461,3977,746,109,0,Tech
vid_1292,Short Video #292,44,3,41526,5151,790,217,10,Tech
vid_1293,Short Video #293,43,6,35606,3370,347,110,20,Tech
vid_1294,Short Video #294,22,0,49901,2836,365,301,14,Food
vid_1295,Short Video #295,44,6,114801,7675,701,244,1,Food
vid_1296,Short Video #296,5,0,70684,9127,1136,675,19,Lifestyle
vid_1297,Short Video #297,15,1,59682,6853,1010,521,6,Comedy
vid_1298,Short Video #298,32,3,184142,19699,2051,441,20,Tech
vid_1299,Short Video #299,29,0,135680,9058,1484,346,11,Tech
vid_1300,Short Video #300,54,8,35496,4748,685,199,21,Tech
vid_1301,Short Video #301,27,5,177910,25988,3335,1415,17,Tech
vid_1302,Short Video #302,35,0,133735,7233,1136,397,2,Food
vid_1303,Short Video #303,34,0,135531,7834,2265,209,6,Education
vid_1304,Short Video #304,46,5,70102,9707,1005,414,10,Education
vid_1305,Short Video #305,39,3,88222,11606,645,637,17,Lifestyle
vid_1306,Short Video #306,11,3,30223,3378,312,96,11,Travel
vid_1307,Short Video #307,20,5,166074,23997,1272,1271,5,Comedy
vid_1308,Short Video #308,30,6,54211,6214,511,518,4,Education
vid_1309,Short Video #309,52,8,58549,4192,833,130,0,Tech
vid_1310,Short Video #310,56,9,58076,7135,617,325,11,Education
vid_1311,Short Video #311,53,4,290756,33312,3172,439,10,Lifestyle
vid_1312,Short Video #312,6,8,66090,9819,865,189,3,Travel
vid_1313,Short Video #313,5,3,173747,12403,1096,314,17,Education
vid_1314,Short Video #314,52,9,97304,10682,1564,451,3,Lifestyle
vid_1315,Short Video #315,16,1,60026,7684,661,503,16,Food
vid_1316,Short Video #316,9,2,53839,4517,657,333,1,Travel
vid_1317,Short Video #317,41,0,67689,5954,1327,203,23,Lifestyle
vid_1318,Short Video #318,36,5,94402,13102,959,128,21,Education
vid_1319,Short Video #319,59,5,141639,12806,2085,847,1,Food
vid_1320,Short Video #320,13,0,74414,8369,810,163,11,Lifestyle
vid_1321,Short Video #321,45,2,72762,10108,1339,297,5,Lifestyle
vid_1322,Short Video #322,39,4,58180,4129,1029,325,9,Education
vid_1323,Short Video #323,23,2,48222,7145,415,440,22,Travel
vid_1324,Short Video #324,52,9,45861,5512,705,79,20,Food
vid_1325,Short Video #325,20,2,178584,17789,1067,1253,22,Tech
vid_1326,Short Video #326,7,9,71875,6690,1397,80,15,Comedy
vid_1327,Short Video #327,24,2,75798,11023,775,505,13,Travel
vid_1328,Short Video #328,28,4,66173,4669,1156,394,6,Food
vid_1329,Short Video #329,58,4,81624,6625,797,678,18,Lifestyle
vid_1330,Short Video #330,60,3,123333,9962,1787,713,22,Food
vid_1331,Short Video #331,37,0,73708,5815,1456,307,16,Comedy
vid_1332,Short Video #332,28,4,110022,10656,1997,350,8,Education
vid_1333,Short Video #333,56,9,231173,34425,1711,408,12,Comedy
vid_1334,Short Video #334,15,4,60367,8383,797,350,21,Tech
vid_1335,Short Video #335,53,3,75835,6278,775,682,4,Tech
vid_1336,Short Video #336,12,5,145021,13383,1669,816,22,Comedy
vid_1337,Short Video #337,40,9,242408,28349,2430,1854,4,Travel
vid_1338,Short Video #338,42,3,46845,2422,470,172,9,Travel
vid_1339,Short Video #339,44,6,35579,4696,467,179,20,Lifestyle
vid_1340,Short Video #340,24,6,98679,13615,777,386,9,Tech
vid_1341,Short Video #341,39,1,92751,12588,1211,183,6,Lifestyle
vid_1342,Short Video #342,52,2,150256,13148,1380,714,14,Tech
vid_1343,Short Video #343,29,0,137109,13189,1279,1080,6,Comedy
vid_1344,Short Video #344,39,7,96724,4956,1555,440,14,Travel
vid_1345,Short Video #345,29,8,185262,16662,1008,1269,2,Travel
vid_1346,Short Video #346,33,3,65603,6300,702,513,18,Comedy
vid_1347,Short Video #347,22,5,112077,15768,1245,437,9,Lifestyle
vid_1348,Short Video #348,50,8,47599,6635,584,389,14,Lifestyle
vid_1349,Short Video #349,22,5,96251,14111,1447,389,2,Food
vid_1350,Short Video #350,6,8,41081,5690,433,135,5,Tech
vid_1351,Short Video #351,58,3,50538,2568,414,151,11,Lifestyle
vid_1352,Short Video #352,39,7,275314,31426,5030,770,14,Comedy
vid_1353,Short Video #353,20,8,33033,1877,651,252,5,Lifestyle
vid_1354,Short Video #354,45,3,86682,6697,459,779,12,Travel
vid_1355,Short Video #355,40,4,162158,17485,2139,498,18,Tech
vid_1356,Short Video #356,37,7,374300,44938,3789,661,2,Education
vid_1357,Short Video #357,8,9,109781,12675,1005,419,7,Food
vid_1358,Short Video #358,37,5,113610,6237,1140,786,7,Tech
vid_1359,Short Video #359,18,6,101094,6102,1474,436,22,Travel
vid_1360,Short Video #360,25,2,186156,11701,1463,1106,19,Travel
vid_1361,Short Video #361,52,6,127902,7564,2390,984,14,Travel
vid_1362,Short Video #362,24,7,69908,4741,838,326,3,Travel
vid_1363,Short Video #363,60,9,192780,22911,1905,1927,18,Comedy
vid_1364,Short Video #364,12,5,74808,9955,1233,275,20,Food
vid_1365,Short Video #365,11,9,37831,3438,198,370,2,Education
vid_1366,Short Video #366,7,8,37903,4520,435,107,12,Travel
vid_1367,Short Video #367,21,5,87496,6124,903,174,7,Travel
vid_1368,Short Video #368,37,8,105011,15471,1057,814,22,Lifestyle
vid_1369,Short Video #369,52,3,175146,14887,1761,1282,15,Food
vid_1370,Short Video #370,16,7,145000,19515,793,1203,12,Tech
vid_1371,Short Video #371,55,3,103560,14968,754,423,2,Food
vid_1372,Short Video #372,26,1,181118,24717,1291,1698,15,Food
vid_1373,Short Video #373,59,9,99473,5640,1972,206,8,Education
vid_1374,Short Video #374,26,8,45510,5235,242,57,13,Food
vid_1375,Short Video #375,50,4,39931,2476,299,147,12,Education
vid_1376,Short Video #376,34,3,212609,10750,4169,1738,20,Travel
vid_1377,Short Video #377,42,1,25664,1416,370,181,6,Travel
vid_1378,Short Video #378,42,0,87514,12393,1029,431,14,Comedy
vid_1379,Short Video #379,49,6,590707,83198,3651,1953,6,Education
vid_1380,Short Video #380,55,5,130032,9438,1956,199,5,Education
vid_1381,Short Video #381,58,1,87105,9120,615,351,1,Tech
vid_1382,Short Video #382,12,7,35929,5227,541,184,8,Lifestyle
vid_1383,Short Video #383,31,3,260516,25965,5128,1871,21,Food
vid_1384,Short Video #384,31,7,204494,18273,2654,1393,23,Tech
vid_1385,Short Video #385,38,6,148877,14638,1222,1418,16,Education
vid_1386,Short Video #386,25,4,98682,12732,1418,187,4,Tech
vid_1387,Short Video #387,34,9,139136,13597,1766,560,11,Comedy
vid_1388,Short Video #388,37,9,90294,11587,1173,481,0,Lifestyle
vid_1389,Short Video #389,32,7,55052,5129,670,387,9,Education
vid_1390,Short Video #390,51,8,175220,13176,2646,956,10,Education
vid_1391,Short Video #391,37,4,95760,7914,1300,882,15,Food
vid_1392,Short Video #392,9,9,135018,7801,2674,874,13,Lifestyle
vid_1393,Short Video #393,52,4,91796,9155,1596,124,7,Comedy
vid_1394,Short Video #394,23,1,130234,8440,1168,263,23,Travel
vid_1395,Short Video #395,8,4,97861,12834,1554,761,16,Tech
vid_1396,Short Video #396,39,2,93383,8596,767,694,17,Food
vid_1397,Short Video #397,53,6,100508,12714,1682,239,11,Education
vid_1398,Short Video #398,21,9,583337,84844,4207,892,16,Travel
vid_1399,Short Video #399,48,4,159762,21559,1933,991,13,Comedy
vid_1400,Short Video #400,32,7,465857,67617,7853,3131,15,Lifestyle
vid_1401,Short Video #401,34,0,98237,10491,903,217,13,Tech
vid_1402,Short Video #402,33,2,82007,5456,1439,431,8,Food
vid_1403,Short Video #403,50,2,51817,7437,759,194,3,Education
vid_1404,Short Video #404,57,8,258315,35350,2831,2423,22,Education
vid_1405,Short Video #405,10,4,57347,7824,650,170,10,Travel
vid_1406,Short Video #406,39,8,292358,34886,5522,2221,5,Travel
